id,label,parent
SE2321000180-470F,Mottagning Britsarvet,Falu kommun
SE2321000180-46TB,Mottagning Grycksbo,Falu kommun
SE2321000180-46W4,Mottagning Norslund,Falu kommun
SE2321000180-4702,Mottagning Svärdsjö,Falu kommun
SE2321000180-46LL,Vårdcentralen Tisken,Falu kommun
SE2321000180-46MX,Vårdcentralen Gagnef,Gagnefs kommun
SE2321000180-4708,Vårdcentralen Hedemora,Hedemora kommun
SE2321000180-46TJ,Vårdcentralen Långshyttan,Hedemora kommun
SE2321000180-46JZ,Vårdcentralen Leksand,Leksands kommun
SE2321000180-4JH9,Vårdcentral Engelbrekt,Ludvika kommun
SE2321000180-46GV,Vårdcentral Ludvika,Ludvika kommun
SE2321000180-46Z5,Vårdcentral Sunnansjö,Ludvika kommun
SE2321000180-46Z9,Vårdcentralen Malung,Malung-Sälens kommun
SE2321000180-46T3,Vårdcentralen Sälen,Malung-Sälens kommun
SE2321000180-46SD,Vårdcentralen Mora,Mora kommun
SE2321000180-46KB,Vårdcentralen Orsa,Orsa kommun
SE2321000180-46XM,Vårdcentralen Rättvik,Rättviks kommun
SE2321000180-46N3,Vårdcentralen Smedjebacken,Smedjebackens kommun
SE2321000180-46X8,Vårdcentral Säter,Säters kommun
SE2321000180-46MP,Vårdcentralen Vansbro,Vansbro kommun
SE2321000180-46N1,Vårdcentralen Särna,Älvdalens kommun
SE2321000180-46ZP,Vårdcentralen Älvdalen,Älvdalens kommun
SE2321000016-4TNR,Hemse Vårdcentral,Gotlands kommun
SE2321000016-4TNS,Slite Vårdcentral,Gotlands kommun
SE165567766992-14N0,VC Unicare Gotland Visby,Gotlands kommun
SE2321000016-505S,Vårdcentralen Visborg,Gotlands kommun
SE2321000016-4TPK,Vårdcentralen Visby Norr,Gotlands kommun
SE2321000016-4TPS,Vårdcentralen Wisby Söder,Gotlands kommun
SE2321000198-019905,Aleris Hälsocentral Bollnäs,Bollnäs kommun
SE2321000198-019460,Arbrå Din Hälsocentral,Bollnäs kommun
SE2321000198-027004,Baldersnäs Din hälsocentral,Bollnäs kommun
SE2321000198-019458,Kilafors Din Hälsocentral,Bollnäs kommun
SE2321000198-019318,Andersbergs Din hälsocentral,Gävle kommun
SE2321000198-022708,Capio hälsocentral Bomhus,Gävle kommun
SE2321000198-019907,Capio hälsocentral Brynäs,Gävle kommun
SE2321000198-019908,Capio hälsocentral Gävle,Gävle kommun
SE2321000198-029091,Eira hälsocentral,Gävle kommun
SE2321000198-024141,Gävle Strand Din hälsocentral,Gävle kommun
SE2321000198-019303,Hamrånge Din hälsocentral,Gävle kommun
SE2321000198-019319,Hedesunda Din hälsocentral,Gävle kommun
SE2321000198-022338,Hälsocentralen City,Gävle kommun
SE2321000198-018729,Strömsbro Din hälsocentral,Gävle kommun
SE2321000198-019304,Sätra Din hälsocentral,Gävle kommun
SE2321000198-019325,Södertull Din hälsocentral,Gävle kommun
SE2321000198-019317,Valbo Din Hälsocentral,Gävle kommun
SE2321000198-019476,Hofors Din Hälsocentral,Hofors kommun
SE2321000198-019350,Delsbo Friggesund Din hälsocentral,Hudiksvalls kommun
SE2321000198-019343,Hudiksvall Din Hälsocentral,Hudiksvalls kommun
SE2321000198-030575,Håstaholmens hälsocentral,Hudiksvalls kommun
SE2321000198-019352,Iggesunds Din Hälsocentral,Hudiksvalls kommun
SE2321000198-022599,Varvet Hälsocentral,Hudiksvalls kommun
SE2321000198-019370,Färila Los Din Hälsocentral,Ljusdals kommun
SE2321000198-019371,Järvsö Din Hälsocentral,Ljusdals kommun
SE2321000198-019364,Ljusdal Ramsjö Din Hälsocentral,Ljusdals kommun
SE2321000198-019349,Bergsjö Din Hälsocentral,Nordanstigs kommun
SE2321000198-021074,Harmånger hälsocentral,Nordanstigs kommun
SE2321000198-019477,Ockelbo Din Hälsocentral,Ockelbo kommun
SE2321000198-025060,Aleris Hälsocentral Voxnadalen,Ovanåkers kommun
SE2321000198-019456,Alfta Hälsocentral,Ovanåkers kommun
SE2321000198-019457,Edsbyns Din Hälsocentral,Ovanåkers kommun
SE2321000198-022500,Hälsopartner hälsocentral,Sandvikens kommun
SE2321000198-021123,Sandviken Norra Din Hälsocentral,Sandvikens kommun
SE2321000198-021103,Sandviken Södra Din Hälsocentral,Sandvikens kommun
SE2321000198-019478,Storvik Din Hälsocentral,Sandvikens kommun
SE2321000198-024439,E-hälsans hälsocentral,Söderhamns kommun
SE2321000198-019454,Linden Din Hälsocentral,Söderhamns kommun
SE2321000198-019910,Ljusne hälsocentral,Söderhamns kommun
SE2321000198-019915,Oxtorgets Hälsocentral,Söderhamns kommun
SE2321000198-018728,Söderhamn Din Hälsocentral,Söderhamns kommun
SE2321000198-024640,Söderhamnsfjärdens hälsocentral,Söderhamns kommun
SE2321000115-O48544,Capio Familjeläkarna Falkenberg AB,Falkenbergs kommun
SE2321000115-O46465,Husläkarna Falkenberg,Falkenbergs kommun
SE2321000115-O40658,Laurentiuskliniken,Falkenbergs kommun
SE2321000115-O26806,Vårdcentralen Falkenberg,Falkenbergs kommun
SE2321000115-O71779,Vårdcentralen Slöinge,Falkenbergs kommun
SE2321000115-O51616,Vårdcentralen Ullared,Falkenbergs kommun
SE2321000115-O16774,Vårdcentralen Vessigebro,Falkenbergs kommun
SE2321000115-O77783,Amadeuskliniken Fyllinge,Halmstads kommun
SE2321000115-O67064,Amadeuskliniken Söndrum,Halmstads kommun
SE2321000115-O12130,Capio Citykliniken,Halmstads kommun
SE2321000115-O78009,Kattegattkliniken,Halmstads kommun
SE2321000115-O35507,Söndrumskliniken,Halmstads kommun
SE2321000115-O62271,Tudorklinikens allmänläkarmottagning,Halmstads kommun
SE2321000115-O78708,Viktoriakliniken Kungsgatan,Halmstads kommun
SE2321000115-O15215,Vårdcentralen Andersberg,Halmstads kommun
SE2321000115-O36097,Vårdcentralen Bäckagård,Halmstads kommun
SE2321000115-O75107,Vårdcentralen Getinge,Halmstads kommun
SE2321000115-O33350,Vårdcentralen Hertig Knut,Halmstads kommun
SE2321000115-O97797,Vårdcentralen Nyhem,Halmstads kommun
SE2321000115-O78453,Vårdcentralen Oskarström,Halmstads kommun
SE2321000115-O69970,Vårdcentralen Vallås,Halmstads kommun
SE2321000115-O50451,Vårdcentralen Hylte,Hylte kommun
SE2321000115-O90637,Vårdcentralen Torup,Hylte kommun
SE2321000115-O91557,Capio Husläkarna Kungsbacka,Kungsbacka kommun
SE2321000115-O10372,Capio Husläkarna Vallda,Kungsbacka kommun
SE2321000115-O78315,Stenblommans Vårdcentral,Kungsbacka kommun
SE2321000115-O13965,Vårdcentralen Fjärås,Kungsbacka kommun
SE2321000115-O14806,Vårdcentralen Kolla,Kungsbacka kommun
SE2321000115-O42956,Vårdcentralen Kungsbacka,Kungsbacka kommun
SE2321000115-O78332,Vårdcentralen Onsala,Kungsbacka kommun
SE2321000115-O80267,Vårdcentralen Särö,Kungsbacka kommun
SE2321000115-O67773,Vårdcentralen Åsa,Kungsbacka kommun
SE2321000115-O89935,Helsa Glänninge,Laholms kommun
SE2321000115-O26433,Lagaholmskliniken,Laholms kommun
SE2321000115-O11396,Laholmshälsan,Laholms kommun
SE2321000115-O53603,Strandängshälsan,Laholms kommun
SE2321000115-O81620,Vårdcentralen Centrum Laholm,Laholms kommun
SE2321000115-O32634,Husläkarna Varmbadhuset Varberg,Varbergs kommun
SE2321000115-O85762,Läjeskliniken,Varbergs kommun
SE2321000115-O68893,Neptunuskliniken,Varbergs kommun
SE2321000115-O17223,Vårdcentralen Håsten,Varbergs kommun
SE2321000115-O99305,Vårdcentralen Tvååker,Varbergs kommun
SE2321000115-O85964,Vårdcentralen Veddige,Varbergs kommun
SE2321000115-O21398,Vårdcentralen Västra Vall,Varbergs kommun
SE2321000214-E013586,Myrviken hälsocentral,Bergs kommun
SE2321000214-E023595,Svenstavik hälsocentral,Bergs kommun
SE2321000214-E023598,Bräcke hälsocentral,Bräcke kommun
SE2321000214-E023599,Kälarne hälsocentral,Bräcke kommun
SE2321000214-E013364,Fjällhälsan,Härjedalens kommun
SE2321000214-E023602,Funäsdalen hälsocentral,Härjedalens kommun
SE2321000214-E023603,Sveg hälsocentral,Härjedalens kommun
SE2321000214-E023607,Föllinge hälsocentral,Krokoms kommun
SE2321000214-E013512,Hälsorum Offerdal,Krokoms kommun
SE2321000214-E023606,Krokom hälsocentral,Krokoms kommun
SE2321000214-E023610,Hammarstrand hälsocentral,Ragunda kommun
SE2321000214-E023611,Stuguns hälsocentral,Ragunda kommun
SE2321000214-E023615,Backe hälsocentral,Strömsunds kommun
SE2321000214-0041559,NNV Hotings distriktsläkarmottagning,Strömsunds kommun
SE2321000214-0041556,NNV Strömsunds distriktsläkarmottagning,Strömsunds kommun
SE2321000214-E013507,Närvård Frostviken Gäddede,Strömsunds kommun
SE2321000214-E023614,Strömsund hälsocentral,Strömsunds kommun
SE2321000214-E023620,Hallens hälsocental,Åre kommun
SE2321000214-E023618,Järpen hälsocentral,Åre kommun
SE2321000214-E023619,Åre hälsocentral,Åre kommun
SE2321000214-E023623,Brunflo hälsocentral,Östersunds kommun
SE2321000214-E023624,Frösö hälsocentral,Östersunds kommun
SE2321000214-0046507,Hälsocentralen Ripan,Östersunds kommun
SE2321000214-E023625,Lits hälsocentral,Östersunds kommun
SE2321000214-E023626,Lugnvik hälsocentral,Östersunds kommun
SE2321000214-E023627,Odensala hälsocentral,Östersunds kommun
SE2321000214-E023629,Zätagränd hälsocentral,Östersunds kommun
SE2321000057-4994,Aneby vårdcentral,Aneby kommun
SE2321000057-4VV7,Eksjö vårdcentral,Eksjö kommun
SE2321000057-85HT,Eksjö vårdcentral Kvarnarp filial,Eksjö kommun
SE2321000057-4W44,Gislaveds vårdcentral,Gislaveds kommun
SE2321000057-5SRH,Gislehälsan Gislaved,Gislaveds kommun
SE2321000057-4W4K,Smålandsstenars vårdcentral,Gislaveds kommun
SE2321000057-5R9L,Gnosjö vårdcentral,Gnosjö kommun
SE2321000057-4BLP,Habo vårdcentral,Habo kommun
SE2321000057-4BNK,Bankeryds vårdcentral,Jönköpings kommun
SE2321000057-5SRJ,Bräcke Diakoni vårdcentralen Lokstallarna Jönköping,Jönköpings kommun
SE2321000057-B1ZW,Eksjö vårdcentral Mariannelund filial,Jönköpings kommun
SE2321000057-4BM3,Gränna vårdcentral,Jönköpings kommun
SE2321000057-4BLN,Hälsans vårdcentral 1 Jönköping,Jönköpings kommun
SE2321000057-4BLH,Hälsans vårdcentral 2 Jönköping,Jönköpings kommun
SE2321000057-4BLM,Kungshälsans vårdcentral Huskvarna,Jönköpings kommun
SE2321000057-BM5D,Läkarhuset Huskvarna filial,Jönköpings kommun
SE2321000057-BM5F,Läkarhuset Väster Jönköping filial,Jönköpings kommun
SE2321000057-7SQR,Läkarhuset Öster Jönköping,Jönköpings kommun
SE2321000057-4BNL,Norrahammars vårdcentral,Jönköpings kommun
SE2321000057-4BLQ,Rosenhälsans vårdcentral Huskvarna,Jönköpings kommun
SE2321000057-4BLJ,Rosenlunds vårdcentral Jönköping,Jönköpings kommun
SE2321000057-4BLK,Råslätts vårdcentral Jönköping,Jönköpings kommun
SE2321000057-5VTN,Tenhults vårdcentral,Jönköpings kommun
SE2321000057-5SRN,Wasa Vårdcentral Jönköping,Jönköpings kommun
SE2321000057-6BBT,Wetterhälsan Atollen filial,Jönköpings kommun
SE2321000057-5SRP,Wetterhälsan Jönköping,Jönköpings kommun
SE2321000057-9DD0,Wetterhälsan Munksjöstaden filial,Jönköpings kommun
SE2321000057-4BNN,Öxnehaga vårdcentral Huskvarna,Jönköpings kommun
SE2321000057-4BLS,Mullsjö vårdcentral,Mullsjö kommun
SE2321000057-4VW6,Bodafors vårdcentral,Nässjö kommun
SE2321000057-5SRR,Bräcke Diakoni vårdcentralen Nyhälsan Nässjö,Nässjö kommun
SE2321000057-5SRT,Nässjö Läkarhus,Nässjö kommun
SE2321000057-49T9,Nässjö vårdcentral,Nässjö kommun
SE2321000057-49T7,Sävsjö vårdcentral,Sävsjö kommun
SE2321000057-8T3V,Sävsjö vårdcentral Vrigstad filial,Sävsjö kommun
SE2321000057-5ZRG,Läkarhuset Tranås,Tranås kommun
SE2321000057-49T6,Tranås vårdcentral,Tranås kommun
SE2321000057-4W5C,Skillingaryds vårdcentral,Vaggeryds kommun
SE2321000057-4W4Z,Vaggeryds vårdcentral,Vaggeryds kommun
SE2321000057-4VSQ,Landsbro vårdcentral,Vetlanda kommun
SE2321000057-5SRX,Unicare vårdcentral Vetlanda,Vetlanda kommun
SE2321000057-49T5,Vetlanda vårdcentral,Vetlanda kommun
SE2321000057-5SRZ,Vårdcentralen Aroma Vetlanda,Vetlanda kommun
SE2321000057-4W3Q,Rydaholms vårdcentral,Värnamo kommun
SE2321000057-5SS0,Unicare Apladalens vårdcentral Värnamo,Värnamo kommun
SE2321000057-4W34,Vråens vårdcentral Värnamo,Värnamo kommun
SE2321000057-4W3N,Väster vårdcentral Värnamo,Värnamo kommun
SE2321000073-4BZX,Borgholms hälsocentral,Borgholms kommun
SE2321000073-ZH7C,Astrakanen Emmaboda läkarcentrum,Emmaboda kommun
SE2321000073-4BZZ,Emmaboda hälsocentral,Emmaboda kommun
SE2321000073-4BQ4,Hultsfreds hälsocentral,Hultsfreds kommun
SE2321000073-Z1GJ,Läkarmottagning Dr Ruge,Hultsfreds kommun
SE2321000073-4BQ8,Mörlunda hälsocentral,Hultsfreds kommun
SE2321000073-4C86,Virserums läkarhus,Hultsfreds kommun
SE2321000073-4BQ5,Högsby hälsocentral,Högsby kommun
SE2321000073-4BZW,Berga hälsocentral,Kalmar kommun
SE2321000073-Z7J0,Cityläkarna i Kalmar,Kalmar kommun
SE2321000073-4C87,Husläkarcentrum,Kalmar kommun
SE2321000073-4C01,Kvarnholmens hälsocentral,Kalmar kommun
SE2321000073-4C02,Lindsdals hälsocentral,Kalmar kommun
SE2321000073-4C03,Ljungbyholms hälsocentral,Kalmar kommun
SE2321000073-4C88,Läkarhuset Kronan,Kalmar kommun
SE2321000073-4C4W,Norrlidens hälsocentral,Kalmar kommun
SE2321000073-4C89,Slottsfjärdens läkarmottagning,Kalmar kommun
SE2321000073-4C07,Smedby hälsocentral,Kalmar kommun
SE2321000073-4C08,Stensö hälsocentral,Kalmar kommun
SE2321000073-4BPZ,Blomstermåla hälsocentral,Mönsterås kommun
SE2321000073-4BQ7,Mönsterås hälsocentral,Mönsterås kommun
SE2321000073-4C00,Färjestadens hälsocentral,Mörbylånga kommun
SE2321000073-4C04,Mörbylånga hälsocentral,Mörbylånga kommun
SE2321000073-XZZM,Astrakanen läkarcentrum Nybro,Nybro kommun
SE2321000073-XZWZ,Läkarhuset PRIMA,Nybro kommun
SE2321000073-4C05,Nybro hälsocentral,Nybro kommun
SE2321000073-4BQ0,Blå Kustens hälsocentral,Oskarshamns kommun
SE2321000073-ZHPM,Cityläkarna i Oskarshamn,Oskarshamns kommun
SE2321000073-4BQ9,Gripens hälsocentral,Oskarshamns kommun
SE2321000073-4BQ6,Kristinebergs hälsocentral,Oskarshamns kommun
SE2321000073-4C0B,Torsås hälsocentral,Torsås kommun
SE2321000073-4BQC,Vimmerby hälsocentral,Vimmerby kommun
SE2321000073-4BPX,Ankarsrums hälsocentral,Västerviks kommun
SE2321000073-4BQ1,Esplanadens hälsocentral,Västerviks kommun
SE2321000073-4BQ2,Gamleby hälsocentral,Västerviks kommun
SE2321000073-4C8D,Riddarhusläkarna,Västerviks kommun
SE2321000073-4BQB,Stora Trädgårdsgatans hälsocentral,Västerviks kommun
SE2321000065-7330028995679,Vårdcentralen Achima Care Vislanda,Alvesta kommun
SE2321000065-7330028005491,Vårdcentralen Alvesta,Alvesta kommun
SE2321000065-7330028005521,Vårdcentralen Moheda,Alvesta kommun
SE2321000065-7330028005576,Vårdcentralen Lessebo,Lessebo kommun
SE2321000065-7330028005705,Vårdcentralen Kungshögen,Ljungby kommun
SE2321000065-7330028005736,Vårdcentralen Lagan,Ljungby kommun
SE2321000065-7330028054994,Vårdcentralen Läkarhuset Ljungby,Ljungby kommun
SE2321000065-7330028005682,Vårdcentralen Sländan,Ljungby kommun
SE2321000065-7330028091944,Vårdcentralen Smålandshälsan i Ljungby,Ljungby kommun
SE2321000065-7330028906378,Vårdcentralen Gränsbygdskliniken,Markaryds kommun
SE2321000065-7330028005644,Vårdcentralen Markaryd,Markaryds kommun
SE2321000065-7330028005668,Vårdcentralen Strömsnäsbruk,Markaryds kommun
SE2321000065-7330028005606,Vårdcentralen Ryd,Tingsryds kommun
SE2321000065-7330028005583,Vårdcentralen Tingsryd,Tingsryds kommun
SE2321000065-7330028892947,Vårdcentralen Hälsocentralen Falken,Uppvidinge kommun
SE2321000065-7330028005545,Vårdcentralen Lenhovda,Uppvidinge kommun
SE2321000065-7330028005552,Vårdcentralen Åseda,Uppvidinge kommun
SE2321000065-7330028137208,Vårdcentralen Achima Care Växjö,Växjö kommun
SE2321000065-7330028005392,Vårdcentralen Birka,Växjö kommun
SE2321000065-7330028005484,Vårdcentralen Braås,Växjö kommun
SE2321000065-7330028999073,Vårdcentralen Capio Hovshaga,Växjö kommun
SE2321000065-7330028005408,Vårdcentralen Centrum,Växjö kommun
SE2321000065-7330028005415,Vårdcentralen Dalbo,Växjö kommun
SE2321000065-7330028005453,Vårdcentralen Ingelstad,Växjö kommun
SE2321000065-7330028005460,Vårdcentralen Lammhult,Växjö kommun
SE2321000065-7330028005477,Vårdcentralen Rottne,Växjö kommun
SE2321000065-7330028005361,Vårdcentralen Skärvet,Växjö kommun
SE2321000065-7330028005439,Vårdcentralen Teleborg,Växjö kommun
SE2321000065-7330028906835,Vårdcentralen Unicare,Växjö kommun
SE2321000065-7330028168264,Vårdcentralen Växjöhälsan Växjö,Växjö kommun
SE2321000065-7330028999448,Vårdcentralen Achima Care Älmhult,Älmhults kommun
SE2321000065-7330028144237,Vårdcentralen Helsa Älmhult,Älmhults kommun
SE2321000230-E00369,Arjeplogs hälsocentral,Arjeplogs kommun
SE2321000230-E00370,Arvidsjaurs hälsocentral,Arvidsjaurs kommun
SE2321000230-E00405,Björknäs hälsocentral,Bodens kommun
SE2321000230-E00407,Erikslunds hälsocentral,Bodens kommun
SE2321000230-E00406,Sandens hälsocentral,Bodens kommun
SE2321000230-E00851,Gällivare hälsocentral,Gällivare kommun
SE2321000230-E01084,Laponia hälsocentral,Gällivare kommun
SE2321000230-E00389,Haparanda hälsocentral,Haparanda kommun
SE2321000230-E00379,Jokkmokks hälsocentral,Jokkmokks kommun
SE2321000230-E00390,Kalix hälsocentral,Kalix kommun
SE2321000230-E00382,Kiruna hälsocentral,Kiruna kommun
SE2321000230-E00608,Norrskenets hälsocentral,Kiruna kommun
SE2321000230-E00400,Bergnäsets hälsocentral,Luleå kommun
SE2321000230-E00394,Björkskatans hälsocentral,Luleå kommun
SE2321000230-E00401,Gammelstads hälsocentral,Luleå kommun
SE2321000230-E00402,Hertsöns hälsocentral,Luleå kommun
SE2321000230-E00397,Mjölkuddens hälsocentral,Luleå kommun
SE2321000230-E00395,Råneå hälsocentral,Luleå kommun
SE2321000230-E00396,Stadsvikens hälsocentral,Luleå kommun
SE2321000230-E01250,Vårdcentralen NorraHamn,Luleå kommun
SE2321000230-E00398,Örnäsets hälsocentral,Luleå kommun
SE2321000230-E00380,Pajala hälsocentral,Pajala kommun
SE2321000230-E00607,Cederkliniken,Piteå kommun
SE2321000230-E00377,Hortlax hälsocentral,Piteå kommun
SE2321000230-E00375,Hällans hälsocentral,Piteå kommun
SE2321000230-E00373,Piteå hälsocentral,Piteå kommun
SE2321000230-E00371,Älvsbyns hälsocentral,Älvsbyns kommun
SE2321000230-E00388,Överkalix hälsocentral,Överkalix kommun
SE2321000230-E00387,Övertorneå hälsocentral,Övertorneå kommun
SE162321000255-O17670,Ekeby Vårdcentral,Bjuvs kommun
SE162321000255-O19049,Solklart Vård i Bjuv,Bjuvs kommun
SE162321000255-O11844,Vårdcentralen Söderåsen,Bjuvs kommun
SE162321000255-O15925,Helsa Vårdcentral Bromölla,Bromölla kommun
SE162321000255-O21489,Tryggakliniken Bromölla,Bromölla kommun
SE162321000255-O11167,Vårdcentralen Arlöv,Burlövs kommun
SE162321000255-O15390,Båstad-Bjäre Läkarpraktik,Båstads kommun
SE162321000255-O17951,Capio Citykliniken Båstad,Båstads kommun
SE162321000255-O16153,Vårdcentralen Förslöv,Båstads kommun
SE162321000255-O19291,Brahehälsan Eslöv,Eslövs kommun
SE162321000255-O15785,Brahehälsan Löberöd,Eslövs kommun
SE162321000255-O11209,Vårdcentralen Kärråkra,Eslövs kommun
SE162321000255-O11100,Vårdcentralen Tåbelund,Eslövs kommun
SE162321000255-O18986,Berga Läkarhus,Helsingborgs kommun
SE162321000255-O16011,Capio Citykliniken Helsingborg Södergatan,Helsingborgs kommun
SE162321000255-O17999,Capio Citykliniken Mariastaden,Helsingborgs kommun
SE162321000255-O15230,Capio Citykliniken Olympia Helsingborg,Helsingborgs kommun
SE162321000255-O17974,Centrumläkarna i Helsingborg,Helsingborgs kommun
SE162321000255-O24218,Garnisonsgatans läkargrupp Helsingborg,Helsingborgs kommun
SE162321000255-O22271,Helsingborgs Vårdcentral,Helsingborgs kommun
SE162321000255-O19039,Privatläkarna Hälsoval Helsingborg,Helsingborgs kommun
SE162321000255-O15232,Väla Hälsocenter Helsingborg,Helsingborgs kommun
SE162321000255-O11634,Vårdcentralen Drottninghög,Helsingborgs kommun
SE162321000255-O11628,Vårdcentralen Husensjö,Helsingborgs kommun
SE162321000255-O13225,Vårdcentralen Landborgen,Helsingborgs kommun
SE162321000255-O11635,Vårdcentralen Laröd,Helsingborgs kommun
SE162321000255-O11629,Vårdcentralen Närlunda,Helsingborgs kommun
SE162321000255-O11633,Vårdcentralen Planteringen,Helsingborgs kommun
SE162321000255-O11637,Vårdcentralen Påarp-Mörarp,Helsingborgs kommun
SE162321000255-O11632,Vårdcentralen Ramlösa,Helsingborgs kommun
SE162321000255-O11639,Vårdcentralen Rydebäck,Helsingborgs kommun
SE162321000255-O11638,Vårdcentralen Råå,Helsingborgs kommun
SE162321000255-O15931,Capio Göingekliniken,Hässleholms kommun
SE162321000255-O17069,Läkarmottagning i Bjärnum,Hässleholms kommun
SE162321000255-O11196,Vårdcentralen Solbrinken,Hässleholms kommun
SE162321000255-O16291,Vårdcentralen Sösdala,Hässleholms kommun
SE162321000255-O11098,Vårdcentralen Vinslöv,Hässleholms kommun
SE162321000255-O16289,Vårdcentralen Vittsjö,Hässleholms kommun
SE162321000255-O16287,Vårdcentralen Vänhem,Hässleholms kommun
SE162321000255-O11096,Vårdcentralen Åparken,Hässleholms kommun
SE162321000255-O24942,Capio Höganäs,Höganäs kommun
SE162321000255-O11847,Vårdcentralen Delfinen,Höganäs kommun
SE162321000255-O11843,Vårdcentralen Sjöcrona,Höganäs kommun
SE162321000255-O11171,Vårdcentralen Hörby,Hörby kommun
SE162321000255-O11118,Vårdcentralen Höör,Höörs kommun
SE162321000255-O16012,Capio Citykliniken Klippan,Klippans kommun
SE162321000255-O13730,Vårdcentralen Klippan,Klippans kommun
SE162321000255-O13729,Vårdcentralen Ljungbyhed,Klippans kommun
SE162321000255-O16008,Capio Citykliniken Kristianstad,Kristianstads kommun
SE162321000255-O15902,Kristianstadkliniken,Kristianstads kommun
SE162321000255-O24344,Tryggakliniken Kristianstad,Kristianstads kommun
SE162321000255-O11165,Vårdcentralen Degeberga,Kristianstads kommun
SE162321000255-O11186,Vårdcentralen Näsby,Kristianstads kommun
SE162321000255-O11188,Vårdcentralen Tollarp,Kristianstads kommun
SE162321000255-O11143,Vårdcentralen Vilan,Kristianstads kommun
SE162321000255-O11156,Vårdcentralen Vä,Kristianstads kommun
SE162321000255-O11122,Vårdcentralen Åhus,Kristianstads kommun
SE162321000255-O11160,Vårdcentralen Östermalm,Kristianstads kommun
SE162321000255-O15945,Östra Läkargruppen Kristianstad,Kristianstads kommun
SE162321000255-O11184,Vårdcentralen Kävlinge,Kävlinge kommun
SE162321000255-O11119,Vårdcentralen Löddeköpinge,Kävlinge kommun
SE162321000255-O16013,Capio Citykliniken Landskrona,Landskrona kommun
SE162321000255-O21821,Hälsomediciskt Center i Landskrona,Landskrona kommun
SE162321000255-O11198,Vårdcentralen Centrum,Landskrona kommun
SE162321000255-O11138,Vårdcentralen Tornet,Landskrona kommun
SE162321000255-O19863,Hälsomedicinskt Center i Lomma,Lomma kommun
SE162321000255-O17993,Sundets Läkargrupp Bjärred,Lomma kommun
SE162321000255-O11145,Vårdcentralen Lomma,Lomma kommun
SE162321000255-O16010,Capio Citykliniken Lund,Lunds kommun
SE162321000255-O17824,Capio Novakliniken Veberöd,Lunds kommun
SE162321000255-O17991,Helsa Vårdcentral Laurentii Lund,Lunds kommun
SE162321000255-O18155,Hälsocentralen Sankt Hans,Lunds kommun
SE162321000255-O24388,KRY Vårdcentral Lund,Lunds kommun
SE162321000255-O11142,Vårdcentralen Dalby,Lunds kommun
SE162321000255-O21141,Vårdcentralen Getingen,Lunds kommun
SE162321000255-O11124,Vårdcentralen Linero Östra Torn,Lunds kommun
SE162321000255-O11166,Vårdcentralen Måsen,Lunds kommun
SE162321000255-O11139,Vårdcentralen Norra Fäladen,Lunds kommun
SE162321000255-O11192,Vårdcentralen Nöbbelöv,Lunds kommun
SE162321000255-O11132,Vårdcentralen Sankt Lars,Lunds kommun
SE162321000255-O11111,Vårdcentralen Södertull,Lunds kommun
SE162321000255-O11106,Vårdcentralen Södra Sandby,Lunds kommun
SE162321000255-O23959,Blomman Vårdcentral Sofielund,Malmö kommun
SE162321000255-O22206,Blomman vårdcentral,Malmö kommun
SE162321000255-O17963,Capio Citykliniken Bunkeflo-Hyllie,Malmö kommun
